Device Type	Instrument Type	Wattage	Purpose	Position	Unit Number	Color	Dimmer	Channel	Address	Universe	U Address	Circuit Number	Circuit Name	System	User Field 1	User Field 2	User Field 3	User Field 4	User Field 5	User Field 6	Num Channels	Frame Size	Field Angle	Field Angle 2	Beam Angle	Beam Angle 2	Weight	Gobo 1	Gobo 1 Rotation	Gobo 2	Gobo 2 Rotation	Gobo Shift	Mark	Draw Beam	Draw Beam as 3D Solid	Use Vertical Beam	Show Beam at	Falloff Distance	Lamp Rotation Angle	Top Shutter Depth	Top Shutter Angle	Left Shutter Depth	Left Shutter Angle	Right Shutter Depth	Right Shutter Angle	Bottom Shutter Depth	Bottom Shutter Angle	Symbol Name	Use Legend	Flip Front && Back Legend Text	Flip Left && Right Legend Text	Focus	Set 3D Orientation	X Rotation	Y Rotation	X Location	Y Location	Z Location	FixtureID	__UID	Accessories
Static Accessory	35	Iris	0	-	B1	3	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	1	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-22'3.194	36'3.222	216'0	-	1870.1.1.0.0	307	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	308	Source 4 19º	575	-	B2	4	-	185	0	0	-	-	0	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	-13'1.554	36'10.514	0	-	1873.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Static Accessory	36	Iris	0	-	B2	4	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	0	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-13'1.554	36'.28	216'0	-	1874.1.1.0.0	308	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	309	S4 PAR WFL	575	DOWN WASH	B3	4	-	217	0	0	-	-	0	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-2'7.554	37'6.844	0	-	1882.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	310	S4 PAR WFL	575	DOWN WASH	B3	5	-	254	0	0	-	-	0	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	1'4.446	37'6.844	0	-	1883.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Static Accessory	44	7.5 2 Leaf Barn Door	0	-	B3	5	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	1	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	7'1.429	38'1.882	0	-	1919.1.1.0.0	310	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	311	S4 PAR WFL	575	DOWN WASH	B4	1	-	253	0	0	-	-	0	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	7'1.446	37'9.397	0	-	1884.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	312	S4 PAR WFL	575	DOWN WASH	B2	5	-	218	0	0	-	-	0	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-8'4.554	37'6.844	0	-	1885.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Static Accessory	43	7.5 4 Leaf Barn Door	0	-	B2	5	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	1	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	7.5 2 Leaf Barn Door	-	False	False	-	False	0	0	-8'4.554	37'11.123	216'0	-	1918.1.1.0.0	312	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	313	S4 PAR WFL	575	DOWN WASH	B1	7	-	181	0	0	-	-	0	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-18'7.554	37'6.844	0	-	1886.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
